RiskPerformance,ExternalRiskEstimate_1,ExternalRiskEstimate_2,ExternalRiskEstimate_3,MSinceOldestTradeOpen_1,MSinceOldestTradeOpen_2,MSinceOldestTradeOpen_3,MSinceOldestTradeOpen_4,MSinceOldestTradeOpen_5,MSinceOldestTradeOpen_6,MSinceOldestTradeOpen_7,MSinceOldestTradeOpen_8,MSinceOldestTradeOpen_9,MSinceOldestTradeOpen_10,MSinceOldestTradeOpen_11,MSinceOldestTradeOpen_12,MSinceOldestTradeOpen_13,MSinceOldestTradeOpen_14,MSinceOldestTradeOpen_15,MSinceMostRecentTradeOpen_1,MSinceMostRecentTradeOpen_2,MSinceMostRecentTradeOpen_3,MSinceMostRecentTradeOpen_4,MSinceMostRecentTradeOpen_5,MSinceMostRecentTradeOpen_6,MSinceMostRecentTradeOpen_7,MSinceMostRecentTradeOpen_8,MSinceMostRecentTradeOpen_9,MSinceMostRecentTradeOpen_10,AverageMInFile_1,AverageMInFile_2,AverageMInFile_3,AverageMInFile_4,AverageMInFile_5,AverageMInFile_6,NumSatisfactoryTrades_1,NumSatisfactoryTrades_2,NumTrades60Ever2DerogPubRec_1,NumTrades60Ever2DerogPubRec_2,NumTrades60Ever2DerogPubRec_3,NumTrades60Ever2DerogPubRec_4,NumTrades90Ever2DerogPubRec_1,NumTrades90Ever2DerogPubRec_2,NumTrades90Ever2DerogPubRec_3,NumTrades90Ever2DerogPubRec_4,NumTotalTrades_1,NumTotalTrades_2,NumTradesOpeninLast12M_1,NumTradesOpeninLast12M_2,NumTradesOpeninLast12M_3,NumTradesOpeninLast12M_4,NumTradesOpeninLast12M_5,NumTradesOpeninLast12M_6,NumTradesOpeninLast12M_7,PercentTradesNeverDelq_1,PercentTradesNeverDelq_2,PercentTradesNeverDelq_3,PercentTradesNeverDelq_4,MSinceMostRecentDelq_1,MSinceMostRecentDelq_2,MSinceMostRecentDelq_3,MSinceMostRecentDelq_4,MSinceMostRecentDelq_5,MSinceMostRecentDelq_6,MSinceMostRecentDelq_7,MaxDelq2PublicRecLast12M_1,MaxDelq2PublicRecLast12M_2,MaxDelq2PublicRecLast12M_3,MaxDelq2PublicRecLast12M_4,MaxDelq2PublicRecLast12M_5,MaxDelqEver_1,MaxDelqEver_2,MaxDelqEver_3,MaxDelqEver_4,MaxDelqEver_5,PercentInstallTrades_1,PercentInstallTrades_2,PercentInstallTrades_3,PercentInstallTrades_4,NetFractionInstallBurden_1,NetFractionInstallBurden_2,NetFractionInstallBurden_3,NetFractionInstallBurden_4,NetFractionInstallBurden_5,NetFractionInstallBurden_6,NetFractionInstallBurden_7,NumInstallTradesWBalance_1,NumInstallTradesWBalance_2,NumInstallTradesWBalance_3,NumInstallTradesWBalance_4,NumInstallTradesWBalance_5,NumInstallTradesWBalance_6,MSinceMostRecentInqexcl7days_1,MSinceMostRecentInqexcl7days_2,MSinceMostRecentInqexcl7days_3,MSinceMostRecentInqexcl7days_4,MSinceMostRecentInqexcl7days_5,MSinceMostRecentInqexcl7days_6,NumInqLast6M_1,NumInqLast6M_2,NumInqLast6M_3,NumInqLast6M_4,NumInqLast6M_5,NumInqLast6M_6,NumInqLast6Mexcl7days_1,NumInqLast6Mexcl7days_2,NumInqLast6Mexcl7days_3,NumInqLast6Mexcl7days_4,NumInqLast6Mexcl7days_5,NumInqLast6Mexcl7days_6,NetFractionRevolvingBurden_1,NetFractionRevolvingBurden_2,NetFractionRevolvingBurden_3,NetFractionRevolvingBurden_4,NetFractionRevolvingBurden_5,NetFractionRevolvingBurden_6,NetFractionRevolvingBurden_7,NetFractionRevolvingBurden_8,NetFractionRevolvingBurden_9,NumRevolvingTradesWBalance_1,NumRevolvingTradesWBalance_2,NumRevolvingTradesWBalance_3,NumRevolvingTradesWBalance_4,NumRevolvingTradesWBalance_5,NumRevolvingTradesWBalance_6,NumRevolvingTradesWBalance_7,NumRevolvingTradesWBalance_8,NumBank2NatlTradesWHighUtilization_1,NumBank2NatlTradesWHighUtilization_2,NumBank2NatlTradesWHighUtilization_3,NumBank2NatlTradesWHighUtilization_4,NumBank2NatlTradesWHighUtilization_5,NumBank2NatlTradesWHighUtilization_6,NumBank2NatlTradesWHighUtilization_7,PercentTradesWBalance_1,PercentTradesWBalance_2,PercentTradesWBalance_3,PercentTradesWBalance_4,PercentTradesWBalance_5,PercentTradesWBalance_6,PercentTradesWBalance_7,PercentTradesWBalance_8
-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
