RiskPerformance,ExternalRiskEstimate_1,ExternalRiskEstimate_2,ExternalRiskEstimate_3
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
1,0,1,0
1,0,0,1
-1,0,1,0
-1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,1,0,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,1,0,0
-1,0,1,0
1,1,0,0
-1,1,0,0
-1,0,0,1
-1,0,0,1
1,1,0,0
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,0,1
-1,1,0,0
-1,0,0,1
-1,0,1,0
1,1,0,0
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,1,0
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
1,1,0,0
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,1,0,0
-1,0,0,1
-1,0,0,1
-1,1,0,0
-1,0,0,1
1,0,0,1
-1,1,0,0
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,1,0,0
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,1,0
-1,0,0,1
1,0,0,1
1,0,0,1
-1,1,0,0
-1,0,1,0
-1,0,1,0
1,1,0,0
1,0,1,0
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,1,0,0
1,0,0,1
-1,0,0,1
1,1,0,0
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,1,0
1,0,0,1
-1,0,1,0
1,0,0,1
1,1,0,0
-1,0,1,0
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,1,0,0
-1,0,0,1
1,0,0,1
1,1,0,0
1,1,0,0
1,0,0,1
1,1,0,0
-1,1,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,1,0
-1,1,0,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,1,0,0
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,1,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,1,0
1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,0,1
-1,0,1,0
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,1,0
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,1,0
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
-1,0,1,0
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,1,0
-1,0,1,0
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,1,0
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,1,0
1,0,0,1
-1,0,0,1
1,0,1,0
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
-1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
-1,0,0,1
1,0,0,1
1,0,0,1
